Signal Legend:

Key        Signal Name

0        = HSMC_ADC_DB[13..0]
1        = HSMC_ADC_OTR_B
2        = HSMC_ADC_OTR_A

Data Table:

Signals-> 0     1 2 

sample

-14078    5171  0 0 
-14077    5171  0 0 
-14076    15763 0 0 
-14075    10627 0 0 
-14074    10627 0 0 
-14073    10627 0 0 
-14072    10727 0 0 
-14071    10342 0 0 
-14070    10342 0 0 
-14069    10342 0 0 
-14068    11854 0 0 
-14067    9806  0 0 
-14066    9806  0 0 
-14065    9806  0 0 
-14064    9787  0 0 
-14063    9267  0 0 
-14062    9267  0 0 
-14061    9267  0 0 
-14060    9787  0 0 
-14059    8746  0 0 
-14058    8746  0 0 
-14057    8746  0 0 
-14056    8763  0 0 
-14055    8243  0 0 
-14054    8243  0 0 
-14053    8243  0 0 
-14052    7251  0 0 
-14051    7760  0 0 
-14050    7760  0 0 
-14049    7760  0 0 
-14048    7800  0 0 
-14047    7288  0 0 
-14046    7288  0 0 
-14045    7288  0 0 
-14044    7868  0 0 
-14043    6830  0 0 
-14042    6830  0 0 
-14041    6830  0 0 
-14040    6898  0 0 
-14039    6386  0 0 
-14038    6386  0 0 
-14037    6386  0 0 
-14036    8122  0 0 
-14035    5946  0 0 
-14034    5946  0 0 
-14033    5946  0 0 
-14032    6047  0 0 
-14031    5519  0 0 
-14030    5519  0 0 
-14029    5519  0 0 
-14028    6126  0 0 
-14027    5100  0 0 
-14026    5100  0 0 
-14025    5100  0 0 
-14024    15276 0 0 
-14023    10542 0 0 
-14022    10542 0 0 
-14021    10542 0 0 
-14020    10511 0 0 
-14019    10247 0 0 
-14018    10247 0 0 
-14017    10247 0 0 
-14016    11623 0 0 
-14015    9701  0 0 
-14014    9701  0 0 
-14013    9701  0 0 
-14012    10181 0 0 
-14011    9158  0 0 
-14010    9158  0 0 
-14009    9158  0 0 
-14008    9142  0 0 
-14007    8628  0 0 
-14006    8628  0 0 
-14005    8628  0 0 
-14004    7612  0 0 
-14003    8122  0 0 
-14002    8122  0 0 
-14001    8122  0 0 
-14000    8154  0 0 
-13999    7634  0 0 
-13998    7634  0 0 
-13997    7634  0 0 
-13996    8179  0 0 
-13995    7155  0 0 
-13994    7155  0 0 
-13993    7155  0 0 
-13992    7095  0 0 
-13991    6694  0 0 
-13990    6694  0 0 
-13989    6694  0 0 
-13988    6755  0 0 
-13987    6243  0 0 
-13986    6243  0 0 
-13985    6243  0 0 
-13984    7859  0 0 
-13983    5810  0 0 
-13982    5810  0 0 
-13981    5810  0 0 
-13980    6035  0 0 
-13979    5377  0 0 
-13978    5377  0 0 
-13977    5377  0 0 
-13976    16193 0 0 
-13975    10818 0 0 
-13974    10818 0 0 
-13973    10818 0 0 
-13972    11022 0 0 
-13971    10510 0 0 
-13970    10510 0 0 
-13969    10510 0 0 
-13968    12143 0 0 
-13967    9957  0 0 
-13966    9957  0 0 
-13965    9957  0 0 
-13964    9917  0 0 
-13963    9402  0 0 
-13962    9402  0 0 
-13961    9402  0 0 
-13960    9918  0 0 
-13959    8870  0 0 
-13958    8870  0 0 
-13957    8870  0 0 
-13956    8878  0 0 
-13955    8360  0 0 
-13954    8360  0 0 
-13953    8360  0 0 
-13952    7353  0 0 
-13951    7867  0 0 
-13950    7867  0 0 
-13949    7867  0 0 
-13948    7899  0 0 
-13947    7385  0 0 
-13946    7385  0 0 
-13945    7385  0 0 
-13944    8089  0 0 
-13943    6922  0 0 
-13942    6922  0 0 
-13941    6922  0 0 
-13940    6990  0 0 
-13939    6470  0 0 
-13938    6470  0 0 
-13937    6470  0 0 
-13936    8078  0 0 
-13935    6026  0 0 
-13934    6026  0 0 
-13933    6026  0 0 
-13932    6106  0 0 
-13931    5594  0 0 
-13930    5594  0 0 
-13929    5594  0 0 
-13928    5566  0 0 
-13927    5182  0 0 
-13926    5182  0 0 
-13925    5182  0 0 
-13924    15775 0 0 
-13923    10625 0 0 
-13922    10625 0 0 
-13921    10625 0 0 
-13920    10713 0 0 
-13919    10328 0 0 
-13918    10328 0 0 
-13917    10328 0 0 
-13916    11832 0 0 
-13915    9784  0 0 
-13914    9784  0 0 
-13913    9784  0 0 
-13912    9753  0 0 
-13911    9241  0 0 
-13910    9241  0 0 
-13909    9241  0 0 
-13908    9755  0 0 
-13907    8714  0 0 
-13906    8714  0 0 
-13905    8714  0 0 
-13904    8734  0 0 
-13903    8214  0 0 
-13902    8214  0 0 
-13901    8214  0 0 
-13900    7734  0 0 
-13899    7734  0 0 
-13898    7734  0 0 
-13897    7734  0 0 
-13896    7775  0 0 
-13895    7263  0 0 
-13894    7263  0 0 
-13893    7263  0 0 
-13892    7839  0 0 
-13891    6812  0 0 
-13890    6812  0 0 
-13889    6812  0 0 
-13888    6905  0 0 
-13887    6369  0 0 
-13886    6369  0 0 
-13885    6369  0 0 
-13884    8117  0 0 
-13883    5942  0 0 
-13882    5942  0 0 
-13881    5942  0 0 
-13880    6038  0 0 
-13879    5522  0 0 
-13878    5522  0 0 
-13877    5522  0 0 
-13876    16351 0 0 
-13875    10973 0 0 
-13874    10973 0 0 
-13873    10973 0 0 
-13872    11197 0 0 
-13871    10684 0 0 
-13870    10684 0 0 
-13869    10684 0 0 
-13868    12221 0 0 
-13867    10145 0 0 
-13866    10145 0 0 
-13865    10145 0 0 
-13864    10117 0 0 
-13863    9605  0 0 
-13862    9605  0 0 
-13861    9605  0 0 
-13860    10117 0 0 
-13859    9088  0 0 
-13858    9088  0 0 
-13857    9088  0 0 
-13856    9101  0 0 
-13855    8591  0 0 
-13854    8591  0 0 
-13853    8591  0 0 
-13852    7603  0 0 
-13851    8115  0 0 
-13850    8115  0 0 
-13849    8115  0 0 
-13848    8183  0 0 
-13847    7654  0 0 
-13846    7654  0 0 
-13845    7654  0 0 
-13844    7598  0 0 
-13843    7214  0 0 
-13842    7214  0 0 
-13841    7214  0 0 
-13840    7806  0 0 
-13839    6780  0 0 
-13838    6780  0 0 
-13837    6780  0 0 
-13836    6877  0 0 
-13835    6359  0 0 
-13834    6359  0 0 
-13833    6359  0 0 
-13832    8127  0 0 
-13831    5950  0 0 
-13830    5950  0 0 
-13829    5950  0 0 
-13828    6066  0 0 
-13827    5554  0 0 
-13826    5554  0 0 
-13825    5554  0 0 
-13824    16286 0 0 
-13823    11020 0 0 
-13822    11020 0 0 
-13821    11020 0 0 
-13820    11260 0 0 
-13819    10748 0 0 
-13818    10748 0 0 
-13817    10748 0 0 
-13816    12280 0 0 
-13815    10234 0 0 
-13814    10234 0 0 
-13813    10234 0 0 
-13812    10234 0 0 
-13811    9714  0 0 
-13810    9714  0 0 
-13809    9714  0 0 
-13808    10238 0 0 
-13807    9214  0 0 
-13806    9214  0 0 
-13805    9214  0 0 
-13804    9151  0 0 
-13803    8741  0 0 
-13802    8741  0 0 
-13801    8741  0 0 
-13800    8829  0 0 
